Date,Apple,Amazon,DBS
11/19/2020,118.639999,155.850998,24.42
11/20/2020,117.339996,154.970001,24.6
11/23/2020,113.849998,154.919495,25.07
11/24/2020,115.169998,155.903,25.6
11/25/2020,116.029999,159.253494,25.68
11/27/2020,116.589996,159.766998,25.5
11/30/2020,119.050003,158.401993,25.68
12/1/2020,122.720001,161.003998,25.200001
12/2/2020,123.080002,160.176498,25.190001
12/3/2020,122.940002,159.336502,25.32
12/4/2020,122.25,158.128998,25.58
12/7/2020,123.75,157.899994,25.66
12/8/2020,124.379997,158.864502,25.26
12/9/2020,121.779999,155.210007,25.01
12/10/2020,123.239998,155.074493,25.450001
12/11/2020,122.410004,155.820999,25.049999
12/14/2020,121.779999,157.848495,25.059999
12/15/2020,127.879997,158.255997,25.450001
12/16/2020,127.809998,162.048004,25.459999
12/17/2020,128.699997,161.804001,25.559999
12/18/2020,126.660004,160.082504,25.370001
12/21/2020,128.229996,160.309006,25.09
12/22/2020,131.880005,160.326004,25.200001
12/23/2020,130.960007,159.263504,25.049999
12/24/2020,131.970001,158.634506,25.07
12/28/2020,136.690002,164.197998,25.17
12/29/2020,134.869995,166.100006,25.129999
12/30/2020,133.720001,164.292496,25.200001
12/31/2020,132.690002,162.846497,25.23
1/4/2021,129.410004,159.331497,25.23
1/5/2021,131.009995,160.925507,25.34
1/6/2021,126.599998,156.919006,25.35
1/7/2021,130.919998,158.108002,25.18
1/8/2021,132.050003,159.134995,26.049999
1/11/2021,128.979996,155.710495,27.42
1/12/2021,128.800003,156.041504,26.92
1/13/2021,130.889999,158.294495,26.73
1/14/2021,128.910004,156.373505,26.76
1/15/2021,127.139999,155.212494,26.99
1/19/2021,127.830002,156.037994,26.85
1/20/2021,132.029999,163.169006,26.41
1/21/2021,136.869995,165.349503,26.59
1/22/2021,139.070007,164.611496,26.379999
1/25/2021,142.919998,164.699997,26.450001
1/26/2021,143.160004,166.306503,26.17
1/27/2021,142.059998,161.628998,25.93
1/28/2021,137.089996,161.880997,25.700001
1/29/2021,131.960007,160.309998,25.809999
2/1/2021,134.139999,167.143997,25.440001
2/2/2021,134.990005,169,25.18
2/3/2021,133.940002,165.626495,25.24
2/4/2021,137.389999,166.550003,25.27
2/5/2021,136.759995,167.607498,25.200001
2/8/2021,136.910004,166.147003,25.24
2/9/2021,136.009995,165.25,25.280001
2/10/2021,135.389999,164.328995,26.15
2/11/2021,135.130005,163.106506,25.93
2/12/2021,135.369995,163.885498,26
2/16/2021,133.190002,163.447495,26.07
2/17/2021,130.839996,165.432007,25.879999
2/18/2021,129.710007,166.411499,25.99
2/19/2021,129.869995,162.494995,26
2/22/2021,126,159.037003,25.76
2/23/2021,125.860001,159.725006,25.629999
2/24/2021,125.349998,157.976501,25.6
2/25/2021,120.989998,152.858002,25.66
2/26/2021,121.260002,154.6465,26.4
3/1/2021,127.790001,157.307007,26.9
3/2/2021,125.120003,154.726501,26.639999
3/3/2021,122.059998,150.25,27.1
3/4/2021,120.129997,148.878494,26.940001
3/5/2021,121.419998,150.022995,27.48
3/8/2021,116.360001,147.597504,28.040001
3/9/2021,121.089996,153.142502,27.690001
3/10/2021,119.980003,152.882004,28.4
3/11/2021,121.959999,155.679504,28.85
3/12/2021,121.029999,154.474503,27.84
3/15/2021,123.989998,154.084,28.309999
3/16/2021,125.57,154.593002,28.1
3/17/2021,124.760002,156.786499,27.959999
3/18/2021,120.529999,151.399506,27.9
3/19/2021,119.989998,153.748001,28.02
3/22/2021,123.389999,155.543503,28.379999
3/23/2021,122.540001,156.875,28.51
3/24/2021,120.089996,154.3535,28.379999
3/25/2021,120.589996,152.313004,28.200001
3/26/2021,121.209999,152.601501,28.299999
3/29/2021,121.389999,153.786499,28.5
3/30/2021,119.900002,152.764496,28.59
3/31/2021,122.150002,154.703995,28.82
4/1/2021,123,158.050003,29
4/5/2021,125.900002,161.336502,28.790001
4/6/2021,126.209999,161.190994,29
4/7/2021,127.900002,163.969498,29.309999
4/8/2021,130.360001,164.964996,29.299999
4/9/2021,133,168.610001,28.83
4/12/2021,131.240005,168.969498,28.700001
4/13/2021,134.429993,170,28.65
4/14/2021,132.029999,166.649994,28.690001
4/15/2021,134.5,168.954498,28.84
4/16/2021,134.160004,169.972,28.690001
4/19/2021,134.839996,168.600494,28.950001
4/20/2021,133.110001,166.734497,29
4/21/2021,133.5,168.100998,29.02
4/22/2021,131.940002,165.451996,29.02
4/23/2021,134.320007,167.044006,28.4
4/26/2021,134.720001,170.449997,28.969999
4/27/2021,134.389999,170.871506,28.950001
4/28/2021,133.580002,172.925003,29
4/29/2021,133.479996,173.565506,29.299999
4/30/2021,131.460007,173.371002,29.4
5/3/2021,132.539993,169.324493,29.389999
5/4/2021,127.849998,165.593506,29.91
5/5/2021,128.100006,163.526993,29.59
5/6/2021,129.740005,165.318497,29.4
5/7/2021,130.210007,164.580505,29.35
5/10/2021,126.849998,159.524506,29.57
5/11/2021,125.910004,161.195496,29.860001
5/12/2021,122.769997,157.597,29.629999
5/13/2021,124.970001,158.073502,29.440001
